Institution Code	Catalog Number	Scientific Name	Collector	Collector Num Prefix	Collector Num	Collector Num Suffix	early J date	late J date	Date Collected	County	Elevation	Locality	Latitude	Longitude	Datum	Link Back	
CHSC	CHSC64060	Azolla filiculoides	B. Castro; L. P. Janeway, M. Halterman, C. Pidgeon		247		2447086	2447086	1987-10-17	Butte	20 m	Graylodge Waterfowl Management Area, ca. 0.5 mi NW of the headquarters.	39.328056	-121.846389	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC64060" target="_blank">View Details</a>	
SD	SD244838	Azolla filiculoides	Jon P. Rebman, Layla Aerne-Hains, Carl Bell, & David Thompson		28614		2456794	2456794	May 16, 2014	San Diego	1200 m	Manzanita Band of Kumeyaay Nation Reservation: northwest of Boulevard; approx. 4.5 miles north of the Golden Acorn Casino & I-8: vicinity of Manzanita Lake	32.757560	-116.323440	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD244838" target="_blank">View Details</a>	
RSA	RSA0118070	Azolla filiculoides	Sarah J. J. De Groot, Rachel Darney-Lane		7957		2457576	2457576	2016-07-06	Ventura	82m	The Nature Conservancy McConica Ranch property; west of Santa Paula and south of Highway 126. Along the Santa Clara River north of South Mountain and South Mountain Road.	34.355970	-119.031720	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0118070" target="_blank">View Details</a>	
SBBG	SBBG126936	Azolla filiculoides	D. Keil with V. L. Holland, L. D. Oyler and W. Ferren		25574		2449906	2449906	7-Jul-1995	Santa Barbara		pond in triangle formed by San Antonio Rd W and Lompoc-Casmalia Rd intersection; Vandenberg Air Force Base	34.784300	-120.540700		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG126936" target="_blank">View Details</a>	
UCR	UCR273970	Azolla filiculoides	Mitch Provance	815-	60		2457245	2457245	2015-Aug-10	Tulare	506 m	Foothills of the Eastern San Joaquin Valley, Hungry Hollow, 7 mi due E of Terra Bella, transmission corridor, 2.3 mi S of Deer Creek	35.962110	-118.918310	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR273970" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68345	Azolla filiculoides	Peter Rubtzoff		574	A	2433863	2433863	August 4, 1951	Sonoma		Pitkin Marsh, near Forestville - Northern half of Lower Marsh	38.457674	-122.867745		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68345" target="_blank">View Details</a>	
CHSC	CHSC24883	Azolla filiculoides	T. L. Reynolds		51		2442886	2442886	1976-04-17	Yolo	60 m	In Putah Creek ca. 50 yds s of Road 128 and ca. 10 yds nw of Low Water Bridge, 4.5 mi sw of Winters.	38.494167	-122.028611	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC24883" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66206	Azolla filiculoides	Henry M. Pollard	s.n.			2440758	2440758	June 20, 1970	Ventura		Coyote Creek north of Santa Ana Road bridge, Foster Park	34.359000	-119.316000	Terrain Nav. v. 8.7 (copied from SBBG42614)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66206" target="_blank">View Details</a>	
RSA	RSA167849	Azolla filiculoides	Robert F. Thorne, Percy C. Everett		33484		2438433	2438433	1964-02-07	Los Angeles	152m	Santa Catalina Island. Along creek in Middle Canyon below dam.	33.356395	-118.445899	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA167849" target="_blank">View Details</a>	
CHSC	CHSC100226	Azolla	John Dittes; Josephine Guardino		1439	A	2454081	2454081	2006-12-11	Los Angeles	598 m	Western Transverse Ranges; San Gabriel Mountains; Big Tujunga Canyon; ca. 1.8 air-miles SW of Big Tujunga Dam, ca. 1.6 air-miles NE of Mt. Lukens, ca. 0.9 air-mile SE of Big Tujunga USFS Station; in shallow water and in wet sand at edge of Big Tujunga Creek.	34.278333	-118.213889	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC100226" target="_blank">View Details</a>	
SD	SD194675	Azolla filiculoides	Jeannie Gregory, K. Rich		2109		2454169	2454169	Mar 09, 2007	San Diego	494 m	Ramona; Mount Gower Open Space Preserve; at dead end of Gunn Stage Road ca 2 mi N of intersection with San Vicente Road.	33.019370	-116.793950	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD194675" target="_blank">View Details</a>	
HSC	HSC65732	Azolla filiculoides	R. F. Thorne, D. Propst, Mark Hoefs		45109		2442303	2442303	12 Sep 1974	Los Angeles	107 m	Cottonwood Canyon below Rancho Escondido, Santa Catalina Island	33.385857	-118.450920	NAD27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=HSC65732" target="_blank">View Details</a>	
RSA	RSA202055	Azolla filiculoides	Henry M. Pollard	s.n.			2437927	2437927	1962-09-19	Ventura		in Coyote Creek, ca. 1/4 mile north of Ventura River bridge, Foster Park.	34.359000	-119.316000	NAD27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA202055" target="_blank">View Details</a>	
RSA	RSA607697	Azolla filiculoides	Scott D. White		6011		2450758	2450758	1997-11-05	Los Angeles	7 m	Malibu Coast: Mouth of Trancas Cyn., north of Pacific Coast Hwy. USGS Point Dume quad. 34 deg 2'N, 118 deg 50.5'W	34.033333	-118.841667	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA607697" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68336	Azolla filiculoides	John H. Thomas		3649		2434675	2434675	Oct. 24, 1953	Santa Cruz		Along beach at Davenport Landing	37.023333	-122.215000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68336" target="_blank">View Details</a>	
UCD	UCD74463	Azolla filiculoides	J. E. Sandoval		61		2449958	2449958	28 Aug 1995	Merced	17 m	Great Valley Grasslands State Park (encompasses the former Fremont Ford State Recreation Area). South of the town of Stevinson, 1 mi. south of Hwy 140 on Hwy 165.	37.300000	-120.916667	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCD74463" target="_blank">View Details</a>	
RSA	RSA741420	Azolla filiculoides	Justin M. Wood		257		2454803	2454803	2008-12-02	Riverside	290m	City of Temecula, Murrieta Creek, downstream of 1st street bridge.	33.483333	-117.141667	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA741420" target="_blank">View Details</a>	
UC	UC1733494	Azolla microphylla	A. C. Sanders, P. MacKay & C. L. Sanders		17898		2449992	2449992	Oct 1 1995	San Bernardino	944 m	San Bernardino Mountains/southern Mojave Desert; Mojave River just above the Mojave River Forks Dam, W of Arrowhead Lake Road from Hesperia	34.350000	-117.258330	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1733494" target="_blank">View Details</a>	
UC	UC1789109	Azolla filiculoides	A. C. Sanders, P. J. MacKay, S. D. White, C. L. Sanders		15698		2449614	2449614	Sep 18 1994	San Bernardino	1494 m	San Bernardino Mountains: Clarks Ranch (site) along the Seven Pines Road, ca. 0.25 mi E of Deer Creek, Santa Ana River Canyon	34.181667	-116.976670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1789109" target="_blank">View Details</a>	
RSA	RSA0014977	Azolla filiculoides	Justin M. Wood, D. M. Ray		2679		2455453	2455453	2010-09-13	San Bernardino	1480m	Clark s Ranch, accessed via Seven Pines Road.	34.181508	-116.978783	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0014977" target="_blank">View Details</a>	
CHSC	CHSC46165	Azolla filiculoides	Lowell Ahart		3214		2444875	2444875	1981-09-27	Butte	73 m	About 1/8 mile north-east of the intersection of Lower Wyandotte Road and Upper Palermo Road, about 4 miles north-east of Palermo.	39.468611	-121.525556	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC46165" target="_blank">View Details</a>	
CHSC	CHSC112240	Azolla microphylla	Lowell Ahart		18550		2456403	2456403	2013-04-20	Butte	49 m	In Wilson Creek, about 40 yards southwest of the oak trees, about 1/2 mile north of the barn, about 3/4 mile north of the Honcut Cemetary, about 3 3/4 miles (air) northeast of Honcut.	39.351667	-121.478333	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC112240" target="_blank">View Details</a>	
RSA	RSA628901	Azolla microphylla	Mary DeDecker		1863		2439979	2439979	1968-05-02	Inyo	1310 m	Owens Valley: Hogback Creek	36.662800	-118.146300	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA628901" target="_blank">View Details</a>	
RSA	RSA627387	Azolla mexicana	A. C. Sanders, P. Mackay, C. L. Sanders		17898		2449992	2449992	1995-10-01	San Bernardino	944 m	San Bernardino Mtns./ southern Mojave Desert: in the dry bed of the Mojave River just above the Mojave River Forks Dam, W of Arrowhead Lake Road from Hesperia.	34.350000	-117.258333	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA627387" target="_blank">View Details</a>	
RSA	RSA0113941	Azolla filiculoides	LeRoy Gross, Sarah J. De Groot		7715		2457633	2457633	2016-09-01	Ventura	82m	Loughman Property; East of the Santa Paula Creek junction. South of Highway 126, off of S. Hallock Dr. Started near 34.35610N 119.03311W, ended near 34.35288N 119.03742W.	34.352880	-119.037420	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0113941" target="_blank">View Details</a>	
