"","IND","POP","K1","K2","K3","K4"
"1","FF0395","microphylla",1e-05,0.500052,0.499928,1e-05
"2","FF0397","microphylla",1.7e-05,0.646361,0.353611,1e-05
"3","FF0399","microphylla",1e-05,1e-05,0.99997,1e-05
"4","FF0401","microphylla",1e-05,0.514527,0.485453,1e-05
"5","FF0402","filiculoides",1e-05,0.240772,1e-05,0.759208
"6","FF0403","microphylla",1e-05,0.407397,0.592583,1e-05
"7","FF0404","microphylla",1e-05,0.524367,0.475613,1e-05
"8","FF0405","microphylla",1e-05,0.999652,0.000328,1e-05
"9","FF0406","microphylla",1e-05,0.45475,0.54523,1e-05
"10","FF0407","microphylla",1e-05,0.282483,0.717497,1e-05
"11","FF0408","microphylla",1e-05,0.000904,0.999076,1e-05
"12","FF0409","microphylla",1e-05,0.002217,0.997763,1e-05
"13","FF0410","filiculoides",1e-05,0.078836,1e-05,0.921144
"14","FF0411","microphylla",4.7e-05,0.334999,0.664944,1e-05
"15","FF0412","microphylla",1e-05,1e-05,0.99997,1e-05
"16","FF0413","microphylla",1.4e-05,1e-05,0.999966,1e-05
"17","FF0414","microphylla",1e-05,1e-05,0.99997,1e-05
"18","FF0415","microphylla",1e-05,0.359224,0.640756,1e-05
"19","FF0416","microphylla",1e-05,0.000557,0.999423,1e-05
"20","FF0417","microphylla",3.4e-05,0.306671,0.693285,1e-05
"21","FF0418","microphylla",1e-05,0.653611,0.346369,1e-05
"22","FF0419","microphylla",1e-05,0.99997,1e-05,1e-05
"23","FF0420","microphylla",1e-05,0.99997,1e-05,1e-05
"24","FF0421","microphylla",1e-05,0.99916,0.00082,1e-05
"25","FF0422","microphylla",1e-05,0.07869,0.92129,1e-05
"26","FF0423","microphylla",1e-05,1e-05,0.99997,1e-05
"27","FF0424","microphylla",1e-05,0.44815,0.55183,1e-05
"28","FF0425","microphylla",1e-05,0.99997,1e-05,1e-05
"29","FF0426","microphylla",1e-05,0.099416,0.900564,1e-05
"30","FF0427","microphylla",1e-05,1e-05,0.99997,1e-05
"31","FF0428","filiculoides",1e-05,0.25317,1e-05,0.74681
"32","FF0429","microphylla",1e-05,1e-05,0.99997,1e-05
"33","FF0430","microphylla",1e-05,0.304443,0.695537,1e-05
"34","FF0431","microphylla",1e-05,0.004008,0.995972,1e-05
"35","FF0432","microphylla",1.1e-05,0.002186,0.997793,1e-05
"36","FF0433","microphylla",1e-05,0.006494,0.993486,1e-05
"37","FF0434","microphylla",1e-05,1e-05,0.99997,1e-05
"38","FF0435","microphylla",1e-05,0.240345,0.745864,0.013781
"39","FF0436","microphylla",1e-05,1e-05,0.99997,1e-05
"40","FF0437","microphylla",1e-05,0.175493,0.824487,1e-05
