sampleID,popGroup,prob,species,location
FF0395,1,0.99999,microphylla,NOCAL
FF0397,1,0.996762,microphylla,NOCAL
FF0399,1,0.99999,microphylla,NOCAL
FF0401,1,0.996667,microphylla,NOCAL
FF0402,1,0.201984,filiculoides,NOCAL
FF0403,1,0.99999,microphylla,NOCAL
FF0404,1,0.99999,microphylla,NOCAL
FF0405,1,0.99999,microphylla,NOCAL
FF0406,1,0.99999,microphylla,NOCAL
FF0407,1,0.99999,microphylla,NOCAL
FF0408,1,0.99999,microphylla,NOCAL
FF0409,1,0.99999,microphylla,NOCAL
FF0410,1,0.061549,filiculoides,NOCAL
FF0411,1,0.99999,microphylla,NOCAL
FF0412,1,0.99999,microphylla,NOCAL
FF0413,1,0.99999,microphylla,NOCAL
FF0414,1,0.99999,microphylla,NOCAL
FF0415,1,0.99999,microphylla,NOCAL
FF0416,1,0.99999,microphylla,NOCAL
FF0417,1,0.99999,microphylla,CENTRAL
FF0418,1,0.99999,microphylla,CENTRAL
FF0419,1,0.99999,microphylla,CENTRAL
FF0420,1,0.993399,microphylla,CENTRAL
FF0421,1,0.985793,microphylla,CENTRAL
FF0422,1,0.99999,microphylla,CENTRAL
FF0423,1,0.99999,microphylla,CENTRAL
FF0424,1,0.99999,microphylla,CENTRAL
FF0425,1,0.99999,microphylla,CENTRAL
FF0426,1,0.99999,microphylla,CENTRAL
FF0427,1,0.99999,microphylla,CENTRAL
FF0428,1,0.215267,filiculoides,NOCAL
FF0429,1,0.99999,microphylla,CENTRAL
FF0430,1,0.99999,microphylla,CENTRAL
FF0431,1,0.99999,microphylla,CENTRAL
FF0432,1,0.99999,microphylla,CENTRAL
FF0433,1,0.99999,microphylla,CENTRAL
FF0434,1,0.99999,microphylla,CENTRAL
FF0435,1,0.984125,microphylla,CENTRAL
FF0436,1,0.99999,microphylla,CENTRAL
FF0437,1,0.99999,microphylla,CENTRAL
FF0438,1,0.99999,microphylla,CENTRAL
FF0439,1,0.99999,microphylla,CENTRAL
FF0440,1,0.99999,microphylla,CENTRAL
FF0441,1,0.99999,microphylla,CENTRAL
FF0442,1,0.99999,microphylla,CENTRAL
FF0443,1,0.99999,microphylla,CENTRAL
FF0444,1,0.886909,caroliniana,CENTRAL
FF0445,1,0.890029,caroliniana,CENTRAL
FF0446,1,0.892373,caroliniana,CENTRAL
FF0447,1,1.00E-05,filiculoides,SOCAL
FF0448,1,0.883387,caroliniana,SOCAL
FF0449,1,0.99999,microphylla,NOCAL
FF0450,1,0.99999,microphylla,NOCAL
FF0451,1,0.99999,microphylla,NOCAL
FF0452,1,0.99999,microphylla,NOCAL
FF0453,1,0.99999,microphylla,NOCAL
FF0454,1,0.99999,microphylla,NOCAL
FF0455,1,0.99999,microphylla,NOCAL
FF0456,1,0.99999,microphylla,NOCAL
FF0457,1,0.99999,microphylla,NOCAL
FF0458,1,0.99999,microphylla,NOCAL
FF0459,1,0.99999,microphylla,NOCAL
FF0460,1,0.99999,microphylla,NOCAL
FF0461,1,0.99999,microphylla,NOCAL
FF0462,1,0.99999,microphylla,NOCAL
FF0463,1,0.99999,microphylla,NOCAL
FF0464,1,0.204918,filiculoides,NOCAL
FF0465,1,0.99999,microphylla,NOCAL
FF0466,1,0.99999,microphylla,NOCAL
FF0467,1,0.99999,microphylla,NOCAL
FF0468,1,0.99999,microphylla,NOCAL
FF0469,1,0.881743,caroliniana,NOCAL
FF0470,1,1.00E-05,filiculoides,NOCAL
FF0471,1,0.16919,filiculoides,NOCAL
FF0472,1,0.99999,microphylla,CENTRAL
FF0473,1,0.99999,microphylla,CENTRAL
FF0474,1,0.99999,microphylla,CENTRAL
FF0475,1,0.99999,microphylla,CENTRAL
FF0476,1,0.99999,microphylla,CENTRAL
FF0477,1,0.99999,microphylla,CENTRAL
FF0478,1,0.99999,microphylla,CENTRAL
FF0479,1,0.99999,microphylla,CENTRAL
FF0480,1,0.99999,microphylla,CENTRAL
FF0481,1,0.99999,microphylla,CENTRAL
FF0482,1,0.99999,microphylla,CENTRAL
FF0483,1,0.99999,microphylla,CENTRAL
FF0484,1,0.99999,microphylla,CENTRAL
FF0485,1,0.990061,microphylla,CENTRAL
FF0486,1,0.99999,microphylla,CENTRAL
FF0487,1,0.888424,caroliniana,NOCAL
FF0488,1,1.00E-05,filiculoides,NOCAL
FF0489,1,0.055516,filiculoides,SOCAL
FF0490,1,0.879981,caroliniana,NONSTATE
FF0491,1,0.99999,microphylla,CENTRAL
FF0492,1,1.00E-05,filiculoides,NOCAL
FF0493,1,1.00E-05,filiculoides,NOCAL
FF0494,1,0.871564,caroliniana,NOCAL
FF0495,1,3.80E-05,filiculoides,NOCAL
FF0496,1,1.00E-05,filiculoides,NOCAL
FF0497,1,1.00E-05,filiculoides,NOCAL
FF0498,1,1.00E-05,filiculoides,SOCAL
FF0499,1,1.00E-05,filiculoides,CENTRAL
FF0500,1,0.977436,microphylla,NOCAL
FF0501,1,1.00E-05,filiculoides,NEVADA
FF0502,1,0.058836,filiculoides,NEVADA
FF0503,1,0.057136,filiculoides,SOCAL
FF0504,1,1.00E-05,filiculoides,NOCAL
FF0505,1,0.244545,filiculoides,CENTRAL
FF0506,1,1.00E-05,filiculoides,SOCAL
FF0507,1,1.00E-05,filiculoides,SOCAL
FF0508,1,0.888969,caroliniana,NOCAL
FF0509,1,1.00E-05,filiculoides,SOCAL
FF0395,2,1.00E-05,microphylla,NOCAL
FF0397,2,0.003238,microphylla,NOCAL
FF0399,2,1.00E-05,microphylla,NOCAL
FF0401,2,0.003333,microphylla,NOCAL
FF0402,2,0.798016,filiculoides,NOCAL
FF0403,2,1.00E-05,microphylla,NOCAL
FF0404,2,1.00E-05,microphylla,NOCAL
FF0405,2,1.00E-05,microphylla,NOCAL
FF0406,2,1.00E-05,microphylla,NOCAL
FF0407,2,1.00E-05,microphylla,NOCAL
FF0408,2,1.00E-05,microphylla,NOCAL
FF0409,2,1.00E-05,microphylla,NOCAL
FF0410,2,0.938451,filiculoides,NOCAL
