INDV	Species	O(HOM)	E(HOM)	N_SITES	F
./AzollaBamsSort/FF0395.sort	microphylla	213863	191447.7	247665	0.39873
./AzollaBamsSort/FF0397.sort	microphylla	199813	178254.8	230261	0.41453
./AzollaBamsSort/FF0399.sort	microphylla	224213	200428	259480	0.40278
./AzollaBamsSort/FF0401.sort	microphylla	217344	195381.7	252919	0.38171
./AzollaBamsSort/FF0402.sort	filiculoides	225320	225276	298410	0.0006
./AzollaBamsSort/FF0403.sort	microphylla	205065	181596.5	234624	0.44257
./AzollaBamsSort/FF0404.sort	microphylla	189617	167275.3	215784	0.46057
./AzollaBamsSort/FF0405.sort	microphylla	172975	152139.3	196050	0.4745
./AzollaBamsSort/FF0406.sort	microphylla	203859	180396.7	233111	0.44508
./AzollaBamsSort/FF0407.sort	microphylla	204553	180347.4	233110	0.45876
./AzollaBamsSort/FF0408.sort	microphylla	213453	188419.1	243641	0.45333
./AzollaBamsSort/FF0409.sort	microphylla	216209	190854.5	246824	0.45301
./AzollaBamsSort/FF0410.sort	filiculoides	291342	274063.5	362955	0.19438
./AzollaBamsSort/FF0411.sort	microphylla	223183	199204.3	258017	0.40771
./AzollaBamsSort/FF0412.sort	microphylla	264704	246031.4	321239	0.24828
./AzollaBamsSort/FF0413.sort	microphylla	251569	229696.8	298924	0.31595
./AzollaBamsSort/FF0414.sort	microphylla	208212	182962.7	236427	0.47226
./AzollaBamsSort/FF0415.sort	microphylla	202627	178165.9	230266	0.4695
./AzollaBamsSort/FF0416.sort	microphylla	224858	199604.6	258641	0.42776
./AzollaBamsSort/FF0417.sort	microphylla	205746	181150.3	234135	0.4642
./AzollaBamsSort/FF0418.sort	microphylla	207742	185293.6	239711	0.41252
./AzollaBamsSort/FF0419.sort	microphylla	196417	174319.2	225219	0.43414
./AzollaBamsSort/FF0420.sort	microphylla	196921	174664.1	225642	0.4366
./AzollaBamsSort/FF0421.sort	microphylla	222683	201883.8	261763	0.34735
./AzollaBamsSort/FF0422.sort	microphylla	221868	197894.1	256298	0.41048
./AzollaBamsSort/FF0423.sort	microphylla	242357	218740.4	284209	0.36073
./AzollaBamsSort/FF0424.sort	microphylla	209476	185784.2	240291	0.43466
./AzollaBamsSort/FF0425.sort	microphylla	190322	167493.7	216348	0.46727
./AzollaBamsSort/FF0426.sort	microphylla	221605	197561.8	255802	0.41283
./AzollaBamsSort/FF0427.sort	microphylla	248864	227354.6	295813	0.3142
./AzollaBamsSort/FF0428.sort	filiculoides	259701	264506.6	349962	-0.05624
./AzollaBamsSort/FF0429.sort	microphylla	252716	232636.1	302903	0.28577
./AzollaBamsSort/FF0430.sort	microphylla	221312	197387.2	255624	0.41082
./AzollaBamsSort/FF0431.sort	microphylla	212063	187359.6	242268	0.4499
./AzollaBamsSort/FF0432.sort	microphylla	227709	203874.4	264111	0.39568
