*sample_name,sample_title,*organism,isolate,cultivar,ecotype,age,dev_stage,*geo_loc_name,County,"NOCAL,SOCAL,CENTRAL",*tissue,collected_by,collection_date,lat_lon,library_prep_method
FF0395,F.Freund_293-14979,Azolla microphylla,,,wild,,mature,"Spring Lake Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-10,"38.45929, -122.65443","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0397,F.Freund_294-14980,Azolla microphylla,,,wild,,mature,"Spring Lake Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-10,"38.4512, -122.65347","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0399,F.Freund_295-14981,Azolla microphylla,,,wild,,mature,"Laguna De Santa Rosa trail, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-12,"38.41676, -122.8113","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0401,F.Freund_296-14982,Azolla microphylla,,,wild,,mature,"Riverside County Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-12,"38.51644, -122.86393","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0402,F.Freund_292-14978,Azolla microphylla,,,cultivated,,mature,"UC Berkeley, Alameda county, California",ALA,NOCAL,whole organism,Forrest Freund,2021-Feb-05,"37.874914, -122.238244","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0403,F.Freund_293-14979,Azolla microphylla,,,wild,,mature,"Spring Lake Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-10,"38.45929, -122.65443","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0404,F.Freund_294-14980,Azolla microphylla,,,wild,,mature,"Spring Lake Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-10,"38.4512, -122.65347","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0405,F.Freund_295-14981,Azolla microphylla,,,wild,,mature,"Laguna De Santa Rosa trail, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-12,"38.41676, -122.8113","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0406,F.Freund_296-14982,Azolla microphylla,,,wild,,mature,"Riverside County Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-12,"38.51644, -122.86393","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0407,F.Freund_297-14983,Azolla microphylla,,,wild,,mature,"Cloverdale Riverfront Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-13,"38.82603, -123.00664","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0408,F.Freund_298-14984,Azolla microphylla,,,wild,,mature,"Cloverdale Riverfront Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-13,"38.82293, -123.00974","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0409,F.Freund_299-14985,Azolla microphylla,,,wild,,mature,"Cloverdale Riverfront Park, Sonoma county, California",SON,NOCAL,whole organism,Forrest Freund,2021-Feb-13,"38.81849, -123.01181","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0410,F.Freund_300-14986,Azolla microphylla,,,wild,,mature,"Audobon Canyon Ranch, Marin county, California",MAR,NOCAL,whole organism,Forrest Freund,2021-Feb-16,"37.9299, -122.68219","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0411,F.Freund_301-14987,Azolla microphylla,,,wild,,mature,"Shadow Cliffs Regional Park, Alameda county, California",ALA,NOCAL,whole organism,Forrest Freund,2021-Mar-02,"37.66603, -121.83488","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0412,F.Freund_302-14988,Azolla microphylla,,,wild,,mature,"Shadow Cliffs Regional Park, Alameda county, California",ALA,NOCAL,whole organism,Forrest Freund,2021-Mar-02,"37.66691, -121.83823","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0413,F.Freund_303-14989,Azolla microphylla,,,wild,,mature,"Shadow Cliffs Regional Park, Alameda county, California",ALA,NOCAL,whole organism,Forrest Freund,2021-Mar-02,"37.66814, -121.84361","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0414,F.Freund_304-14990,Azolla microphylla,,,wild,,mature,"Contra Loma Regional Park, Contra Costa county, California",CON,NOCAL,whole organism,Forrest Freund,2021-Mar-04,"37.97168, -121.82599","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0415,F.Freund_305-14991,Azolla microphylla,,,wild,,mature,"Contra Loma Regional Park, Contra Costa county, California",CON,NOCAL,whole organism,Forrest Freund,2021-Mar-04,"37.97356, -121.83136","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0416,F.Freund_306-14992,Azolla microphylla,,,wild,,mature,"Contra Loma Regional Park, Contra Costa county, California",CON,NOCAL,whole organism,Forrest Freund,2021-Mar-04,"37.97398, -121.8225","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0417,F.Freund_307-14993,Azolla microphylla,,,wild,,mature,"Cosumnes River Preserve, Sacramento county, California",SAC,CENTRAL,whole organism,Forrest Freund,2021-Mar-07,"38.263732, -121.440121","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0418,F.Freund_308-14994,Azolla microphylla,,,wild,,mature,"Cosumnes River Preserve, Sacramento county, California",SAC,CENTRAL,whole organism,Forrest Freund,2021-Mar-07,"38.259844, -121.437601","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0419,F.Freund_309-14995,Azolla microphylla,,,wild,,mature,"Cosumnes River Preserve, Sacramento county, California",SAC,CENTRAL,whole organism,Forrest Freund,2021-Mar-07,"38.258056, -121.431826","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0420,F.Freund_310-14996,Azolla microphylla,,,wild,,mature,"Cosumnes River Preserve, Sacramento county, California",SAC,CENTRAL,whole organism,Forrest Freund,2021-Mar-07,"38.259191, -121.426778","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0421,F.Freund_311-14997,Azolla microphylla,,,wild,,mature,"Cosumnes River Preserve, Sacramento county, California",SAC,CENTRAL,whole organism,Forrest Freund,2021-Mar-07,"38.261154, -121.420542","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0422,F.Freund_312-14998,Azolla microphylla,,,wild,,mature,"Cosumnes River Preserve, Sacramento county, California",SAC,CENTRAL,whole organism,Forrest Freund,2021-Mar-07,"38.256748, -121.439148","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0423,F.Freund_313-14999,Azolla microphylla,,,wild,,mature,"Sacramento National Wildlife Refuge, Glenn county, California",GLE,CENTRAL,whole organism,Forrest Freund,2021-Mar-09,"39.42227, -122.16944","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0424,F.Freund_314-15000,Azolla microphylla,,,wild,,mature,"Sacramento National Wildlife Refuge, Glenn county, California",GLE,CENTRAL,whole organism,Forrest Freund,2021-Mar-09,"39.42213, -122.16398","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0425,F.Freund_315-15001,Azolla microphylla,,,wild,,mature,"Sacramento National Wildlife Refuge, Glenn county, California",GLE,CENTRAL,whole organism,Forrest Freund,2021-Mar-09,"39.43667, -122.16423","CTAB extraction in the Rothfels lab, with library prep done by QB3"
FF0426,F.Freund_316-15002,Azolla microphylla,,,wild,,mature,"Payne Creek BLM land, Tehama county, California",TEH,CENTRAL,whole organism,Forrest Freund,2021-Mar-09,"40.27373, -122.19778","CTAB extraction in the Rothfels lab, with library prep done by QB3"
